Měsíc;Den v týdnu;Denní doba;Typ;Vzdálenost;Čas;Průměrný ST;Maximální ST;Průměrné tempo;Celkový výstup;Kroky
září;pondělí;Odpoledne;tempo;9,04;00:45:00;164;186;04:59;28;7 330
září;sobota;Odpoledne;easy;11,09;01:00:00;143;157;05:25;62;9 428
září;čtvrtek;Odpoledne;long;21,25;02:00:00;149;169;05:39;233;18 618
září;středa;Odpoledne;tempo;9,42;00:50:00;149;169;05:18;33;8 044
září;pondělí;Odpoledne;tempo;15,20;01:15:00;160;175;04:56;99;12 192
září;sobota;Odpoledne;easy;11,10;01:00:00;147;159;05:24;75;9 620
září;čtvrtek;Noc;tempo;15,46;01:25:00;151;183;05:30;80;13 428
září;středa;Noc;Intervaly;7,95;00:43:00;161;183;05:25;27;7 024
srpen;sobota;Noc;ultra;101,25;14:11:07;122;167;08:24;722;104 968
srpen;čtvrtek;Odpoledne;easy;17,50;01:46:41;147;164;06:06;133;15 738
srpen;středa;Odpoledne;Intervaly;6,69;00:33:01;165;182;04:56;17;5 404
srpen;pondělí;Odpoledne;Intervaly;15,12;01:15:25;164;187;04:59;48;12 172
srpen;sobota;Ráno a dopoledne;easy;9,01;00:50:42;142;162;05:38;43;8 000
srpen;čtvrtek;Odpoledne;tempo;16,50;01:25:00;157;179;05:09;77;13 682
srpen;středa;Odpoledne;Intervaly;6,75;00:34:26;155;176;05:06;6;5 532
srpen;pondělí;Odpoledne;tempo;12,39;01:00:00;163;181;04:51;45;9 800
srpen;sobota;Odpoledne;easy;11,33;01:06:43;142;161;05:53;91;9 950
srpen;čtvrtek;Noc;long;21,21;02:04:50;153;171;05:53;92;19 010
srpen;středa;Odpoledne;Intervaly;9,35;00:51:00;161;182;05:27;14;8 054
srpen;pondělí;Odpoledne;tempo;8,04;00:40:00;162;181;04:59;24;6 608
srpen;sobota;Odpoledne;tempo;7,51;00:40:00;164;183;05:20;15;6 328
srpen;čtvrtek;Odpoledne;easy;9,08;00:50:00;153;169;05:30;83;7 830
srpen;středa;Odpoledne;easy;8,04;00:45:00;148;165;05:36;87;6 898
srpen;pondělí;Odpoledne;Intervaly;12,52;01:03:00;154;173;05:02;9;10 294
srpen;pátek;Odpoledne;tempo;8,04;00:40:00;159;178;04:59;8;6 592
červenec;čtvrtek;Odpoledne;easy;6,20;00:31:37;152;169;05:06;51;5 106
červenec;středa;Odpoledne;Intervaly;10,03;00:51:16;171;189;05:07;6;8 324
červenec;pondělí;Odpoledne;easy;8,51;00:45:00;159;173;05:17;32;7 356
červenec;sobota;Odpoledne;long;21,66;01:59:50;143;159;05:32;111;18 698
červenec;čtvrtek;Odpoledne;tempo;7,72;00:40:01;157;179;05:11;48;6 394
červenec;středa;Odpoledne;Intervaly;10,15;00:51:01;166;187;05:02;3;8 294
červenec;pondělí;Odpoledne;easy;8,33;00:45:01;164;175;05:24;69;7 218
červenec;sobota;Odpoledne;easy;10,75;01:00:03;154;178;05:35;81;9 420
červenec;čtvrtek;Odpoledne;easy;7,01;00:36:23;167;176;05:11;27;5 832
červenec;čtvrtek;Odpoledne;Testovací;2,07;00:09:03,4;149;162;04:23;4;1 512
červenec;úterý;Odpoledne;easy;5,55;00:35:04;147;167;06:19;50;5 256
červenec;pátek;Odpoledne;ultra;202,02;47:33:31;110;171;14:07;2 844;240 516
červen;neděle;Ráno a dopoledne;easy;6,01;00:36:40;139;155;06:06;48;5 378
červen;sobota;Odpoledne;easy;6,03;00:37:32;140;155;06:13;73;5 456
červen;pátek;Noc;easy;10,05;00:59:55;134;160;05:58;34;8 984
červen;čtvrtek;Noc;easy;5,46;00:32:27;146;163;05:57;23;4 792
červen;středa;Odpoledne;easy;5,11;00:30:19;138;158;05:56;20;4 404
červen;úterý;Odpoledne;easy;6,61;00:39:00;142;158;05:54;58;5 790
červen;pondělí;Ráno a dopoledne;easy;6,12;00:36:31;136;153;05:58;48;5 444
červen;neděle;Odpoledne;easy;5,12;00:31:08;143;159;06:05;40;4 540
červen;sobota;Odpoledne;long;32,23;03:39:34;137;166;06:49;144;29 714
červen;pátek;Odpoledne;easy;11,11;01:06:39;140;160;06:00;56;9 746
červen;čtvrtek;Odpoledne;easy;5,25;00:29:49;148;169;05:41;39;4 460
červen;středa;Ráno a dopoledne;easy;5,24;00:32:21;141;155;06:10;43;4 746
červen;úterý;Odpoledne;easy;9,31;00:55:44;139;158;05:59;74;8 130
červen;pondělí;Ráno a dopoledne;easy;5,01;00:30:51;140;155;06:09;16;4 486
červen;neděle;Odpoledne;long;21,21;02:33:05;138;168;07:13;200;20 236
